Initial Clause,Final Clause,Status
"A Parte Receptora reconhece e afirma que terá acesso a certas Informações Confidenciais e privadas, e assim, se obriga, por si e por seus Representantes, a tomar todas as providências necessárias a fim de que as Informações Confidenciais assim sejam tratadas e protegidas. Por esta razão, a Parte Receptora obriga-se a:","A Parte Receptora reconhece e afirma que terá acesso a certas Informações Confidenciais, e assim, se obriga, por si e por seus Representantes, a tomar todas as providências necessárias a fim de que as Informações Confidenciais sejam mantidas em absoluto sigilo nos termos deste Acordo. Por esta razão, a Parte Receptora obriga-se a:",changed
"manter absoluto sigilo e confidencialidade sobre todas as Informações Confidenciais bem como cláusulas e condições deste Acordo entre as Partes, na sua vigência;","manter absoluto sigilo e confidencialidade sobre todas as Informações Confidenciais divulgadas pela Parte Reveladora, bem como sobre as cláusulas e condições deste Acordo, pelo período de sua vigência;",changed
"guardar e manter em áreas de acesso restrito todos os documentos, informações e/ou e-mails que de qualquer forma contenham Informações Confidenciais, exceto quando solicitada a sua devolução ou destruição pela Parte Reveladora;",guardar e manter as Informações Confidenciais com mesma diligência e cuidado que costuma empregar aos seus próprios documentos sigilosos;,changed
"informar imediatamente à Parte Reveladora sempre que receber solicitação de autoridade de órgão administrativo ou judicial, envolvendo (i) requisição de Informações Confidenciais e/ou (ii) intimação para depor ou testemunhar, ou, até mesmo prestar informações cujo teor implique na divulgação da totalidade ou parte de qualquer das Informações Confidenciais, de forma a propiciar à Parte Reveladora a possibilidade de buscar uma ordem judicial que impeça tal determinação. Caso seja necessária eventual divulgação de Informação Confidencial no entendimento dos advogados da Parte Receptora, em opinião por escrito e assinada, a Parte Receptora divulgará estritamente a parte da informação que for requisitada e deverá envidar os melhores esforços para que seja dado tratamento confidencial a estas informações divulgadas;","se for legalmente obrigada a revelar, no todo ou em parte, as Informações Confidenciais por qualquer lei, ordem, juízo, autoridade governamental competente ou órgão regulador, e somente se permitido pela referida autoridade, lei, ordem ou órgão, informar imediatamente à Parte Reveladora sobre tal obrigação, de forma a propiciar à Parte Reveladora a possibilidade de buscar uma ordem judicial que impeça tal determinação, exclusivamente às suas custas. Caso seja necessária eventual divulgação de Informação Confidencial, a Parte Receptora divulgará estritamente a parte da informação que for legalmente requisitada e deverá envidar os melhores esforços para que seja dado tratamento confidencial a estas informações divulgadas;",changed
"considerar como confidencial todo e qualquer novo documento, relatório, base de dados que resulte da compilação das Informações Confidenciais, inclusive aqueles criados pela Parte Receptora ou seus Representantes;","considerar como Informação Confidencial todo e qualquer novo documento, relatório e/ou base de dados que contenha Informações Confidenciais, inclusive aqueles criados pela Parte Receptora ou seus Representantes;",changed
reconhecer sempre e incondicionalmente que as Informações Confidenciais são e continuarão sendo de propriedade exclusiva da Parte Reveladora; e,reconhecer que as Informações Confidenciais são de propriedade exclusiva da Parte Reveladora; e,changed
"não divulgar a celebração do presente Acordo, exceto se expressamente autorizada, por escrito, pela Parte Reveladora.","não divulgar a celebração do presente Acordo, exceto se expressamente autorizada, por escrito, pela Parte Reveladora.",equal
"A Parte Receptora deve agir de boa fé e diligentemente com relação à proteção da confidencialidade das Informações Confidenciais, tomando todas as precauções razoáveis e, em qualquer caso, não menos que as precauções usadas para proteger suas próprias Informações Confidenciais, para manter as Informações Confidenciais no mais estrito sigilo e para protegê-la da divulgação (incluindo as instruções respectivas para todos os Representantes que trabalham com Informações Confidenciais). Além disso, as Partes devem usar as Informações Confidenciais de forma exclusiva e somente conforme necessário, e devem manter todas as Informações Confidenciais em local seguro, além de informar imediatamente à Parte Reveladora, caso haja vazamento, uso indevido ou divulgação não autorizada de Informações Confidenciais. Finalmente, as Partes concordam que, a partir da data de divulgação das Informações Confidenciais, elas não divulgarão essas Informações Confidenciais recebidas a nenhuma outra parte; sendo certo que a Parte exigirá de seus Representantes o cumprimento das disposições deste Acordo.","A Parte Receptora deve agir de boa fé e diligentemente com relação à proteção da confidencialidade das Informações Confidenciais, tomando todas as precauções razoáveis para manter as Informações Confidenciais no mais estrito sigilo e para protegê-las da divulgação não autorizada por este Acordo sendo que, em qualquer caso, tais precauções não deverão ser menos estritas que as precauções usadas para proteger suas próprias informações sigilosas. A Parte Receptora deverá informar a seus Representantes que tiverem acesso às Informações Confidenciais sobre a sua natureza confidencial. Além disso, as Partes devem usar as Informações Confidenciais somente conforme necessário para avaliação do Projeto, e devem manter todas as Informações Confidenciais em local seguro, nos termos do item 2.1.b) supra, e a Parte Receptora deverá informar imediatamente à Parte Reveladora, caso haja vazamento, uso indevido ou divulgação não autorizada de Informações Confidenciais, nos termos estabelecidos neste Acordo. Finalmente, as Partes concordam que, a partir da divulgação das Informações Confidenciais pela Parte Reveladora, a Parte Receptora não divulgará essas Informações Confidenciais a nenhum outro terceiro não autorizado nos termos deste Acordo; sendo certo que os Representantes da Parte Receptora deverão estar vinculados a obrigações de confidencialidade perante à Parte Receptora ao menos tão estritas quanto às estabelecidas neste Acordo.",changed
A Parte Receptora concorda que não usará as Informações Confidenciais recebidas da Parte Reveladora para seu próprio benefício ou para o benefício de qualquer pessoa que não seja a Parte Reveladora.,A Parte Receptora concorda que somente usará as Informações Confidenciais recebidas da Parte Reveladora para analisar a possibilidade de investimento no Projeto.,changed
"A Parte Receptora deve devolver à outra Parte as Informações Confidenciais, tão logo tenha terminado a necessidade de seu uso ou tenha sido solicitado pela Parte Reveladora, e não reter quaisquer reproduções, cópias ou segundas vias, exceto se a guarda das Informações Confidenciais se der por exigência legal, regulatória ou em decorrência de políticas internas da Parte Receptora.","A Parte Receptora deve devolver à Parte Reveladora e/ou destruir as Informações Confidenciais, tão logo tenha sido solicitado pela Parte Reveladora, e não reter quaisquer reproduções, cópias ou segundas vias, exceto se a guarda das Informações Confidenciais se der por exigência legal, regulatória e/ou de compliance, ou quando a destruição não for possível devido a arquivamento eletrônico não destruível e/ou backups automáticos da Parte Receptora.",changed
"Não obstante às disposições da Cláusula 2.1, excetuam-se da obrigação de manutenção de confidencialidade disposta neste Acordo: as informações que forem transmitidas entre as Empresas do Grupo Multitécnica.",,deleted
CLÁUSULA TRÊS – PRAZO E VIGÊNCIA,CLÁUSULA TRÊS – PRAZO E VIGÊNCIA,equal
As obrigações de confidencialidade e de divulgação previstas neste Acordo permanecerão válidas e eficazes pelo prazo de 5 (cinco) anos a contar da data de sua assinatura.,As obrigações de confidencialidade e de divulgação previstas neste Acordo permanecerão válidas e eficazes pelo prazo de 2 (dois) anos a contar da data de sua assinatura.,changed
CLÁUSULA QUATRO – PENALIDADES,CLÁUSULA QUATRO – PENALIDADES,equal
"A quebra do sigilo relacionado às Informações Confidenciais, conforme previsto neste Acordo, possibilitará a imediata rescisão deste Acordo mediante notificação, por escrito, à outra Parte. Neste caso, as Partes reconhecem que, no caso de descumprimento das obrigações previstas neste Acordo, a Parte infratora estará sujeita, por ação ou omissão, ao pagamento ou recomposição de todas as perdas e danos comprovadamente sofridos, pela Parte inocente, inclusive as de ordem moral ou concorrencial, bem como as de responsabilidades civil e criminal respectivas, nos termos de decisão judicial transitada em julgado.","O descumprimento das obrigações de confidencialidade, conforme previstas neste Acordo, possibilitará a imediata rescisão deste Acordo mediante notificação, por escrito, à outra Parte. Neste caso, as Partes reconhecem que, no caso de descumprimento das obrigações previstas neste Acordo, a Parte infratora estará sujeita, por ação ou omissão, ao pagamento ou recomposição de todos os danos diretos comprovadamente incorridos pela Parte inocente, nos termos de decisão judicial transitada em julgado de regular processo judicial.",changed
CLÁUSULA CINCO – DISPOSIÇÕES GERAIS,CLÁUSULA CINCO – DISPOSIÇÕES GERAIS,equal
"Este Acordo é regido pelas leis da República Federativa do Brasil e obriga as Partes, seus Representantes, sucessores, cessionários e demais pessoas vinculadas a cada uma das Partes, que tenham ou possam ter qualquer contato ou acesso às Informações Confidenciais, declarando as Partes não haver quaisquer outros entendimentos, acordos e/ou declarações, expressas ou implícitas, com relação a este Acordo que não estejam aqui especificadas.","Este Acordo é regido pelas leis da República Federativa do Brasil e obriga as Partes, seus sucessores e cessionários, declarando as Partes não haver quaisquer outros entendimentos, acordos e/ou declarações, expressas ou implícitas, com relação a este Acordo que não estejam aqui especificadas.",changed
"É vedada a cessão por qualquer das Partes dos direitos e obrigações previstos neste Acordo, sem prévia e expressa anuência por escrito da outra Parte.","É vedada a cessão por qualquer das Partes dos direitos e obrigações previstos neste Acordo, sem prévia e expressa anuência por escrito da outra Parte.",equal
Este Acordo somente poderá ser alterado mediante documento escrito assinado por ambas as Partes.,Este Acordo somente poderá ser alterado mediante documento escrito assinado por ambas as Partes.,equal
O presente Acordo não impõe a obrigação às Partes de negociar ou firmar qualquer tipo de contrato ou acordo.,"O presente Acordo não impõe a obrigação às Partes de negociar ou firmar qualquer tipo de contrato ou acordo, não assegura qualquer direito de exclusividade às Partes em relação a uma eventual transação comercial entre elas ou entre a Parte Receptora e outras entidades participantes do Projeto, bem como não limita o direito das Partes de analisar, discutir, negociar ou celebrar qualquer contrato ou negócio com quaisquer terceiros.",changed
"As partes elegem o foro da Comarca de Sete Lagoas/MG como único competente para processar e julgar eventuais questões oriundas do presente instrumento, renunciando, desde já, a qualquer outro, por mais privilegiado que seja.","As partes elegem o foro da Comarca do Rio de Janeiro/RJ como único competente para processar e julgar eventuais questões oriundas do presente instrumento, renunciando, desde já, a qualquer outro, por mais privilegiado que seja.",changed
"E, por estarem de pleno e inteiro acordo, assinam o presente instrumento por meio eletrônico, na presença de duas testemunhas, para que produza todos os seus efeitos jurídicos.","E, por estarem de pleno e inteiro acordo, assinam o presente instrumento por meio eletrônico, na presença de duas testemunhas, para que produza todos os seus efeitos jurídicos.",equal
,"A Parte Reveladora é uma empresa que tem por objetivo [___] (o “Projeto”), tendo iniciado o processo de captação de recursos para o Projeto;",added
,A Parte Receptora tem interesse em ter acesso às Informações Confidenciais com o objetivo de analisar a possibilidade de investimento no Projeto para fundos de investimento sob sua gestão;,added
,"Para os fins deste Acordo, “Representantes” são os sócios, administradores, diretores, gerentes, membros de conselhos ou comitês ou de quaisquer órgãos consultivos, representantes, dirigentes, procuradores, empregados, subcontratados ou consultores, presentes ou futuros (incluindo, sem qualquer limitação, advogados, contadores, consultores financeiros, auditores, etc.), pessoas físicas ou jurídicas, de uma Parte ou de uma Afiliada da Parte, sendo certo que, para os fins deste Acordo, apenas serão considerados Representantes aqueles que efetivamente recebam ou forneçam acesso à Informação Confidencial e/ou que estejam diretamente envolvidos no Projeto.",added
,"“Afiliada” de uma Parte significa: (i) qualquer pessoa jurídica que, na data deste Acordo ou a qualquer momento após a data deste Acordo, seja Coligada ou Controlada por, esteja sob Controle comum com, ou seja Controladora da primeira, sendo que para fins deste Acordo, os termos “Controle”, “Controlada” e “Controladora” têm o significado que lhes é atribuído pelo artigo 116 da Lei nº 6.404/76 e o termo “Coligada” tem o significado que lhe é atribuído conjuntamente pelos parágrafos 1º, 4º e 5º do artigo 243 da Lei nº 6.404/76; bem como significa (ii) qualquer fundo de investimento que seja gerido com poderes discricionários de investimento pela respectiva Parte; e qualquer outro fundo de investimento que seja gerido por uma Afiliada da Parte, desde que em ambos os casos tenha poderes discricionários de investimento.",added
,"As Partes concordam que a celebração deste Acordo não constitui qualquer proposta, promessa de proposta ou obrigação em relação à celebração de qualquer outra transação entre as Partes, bem como cada Parte será a única e exclusiva responsável pelos custos e despesas por ela incorridos em decorrência de revelação ou análise das Informações Confidenciais.",added
,"As Partes reconhecem que a assinatura do presente Acordo não impede que gestoras de recursos relacionadas à Parte Receptora possam vir a negociar quaisquer valores mobiliários, nos mercados organizados para clientes e fundos de investimento que estejam sob gestão, no curso normal dos seus negócios.",added
,"As Partes aceitam que este Acordo e eventuais aditivos e demais instrumentos que venham a ser necessários entre as Partes poderão ser assinados eletronicamente ou de forma manuscrita ou por ambas as modalidades no mesmo documento para todos e quaisquer fins de direito. As Partes reconhecem e anuem que a assinatura eletrônica é uma forma válida de expressar o consentimento das Partes em um contrato, sendo certo que será considerada a data de assinatura deste Acordo, bem como o local de assinatura, para todos os fins e efeitos, a data e local indicados abaixo, independentemente da data e local em que as assinaturas eletrônicas forem implementadas. Cada Parte se compromete a direcionar os documentos para assinatura eletrônica aos seus representantes legais, na forma do seu Estatuto Social/Contrato Social. Assim, as Partes se responsabilizam por todas e quaisquer informações prestadas às outras, se comprometendo, ainda, a informar sempre que houver qualquer alteração e/ou atualização, especialmente sobre seus representantes legais.",added
"doravante denominadas, em conjunto, simplesmente “PARTES” ou, individual e indistintamente, “PARTE”.","Doravante denominadas, em conjunto, simplesmente “PARTES” ou, individual e indistintamente, “PARTE”.",changed
CONSIDERANDO QUE a RECEPTORA tem interesse em avaliar uma eventual aquisição da COMPANHIA (a “TRANSAÇÃO”);,CONSIDERANDO QUE a RECEPTORA tem interesse em ter acesso às INFORMAÇÕES CONFIDENCIAIS (conforme definição abaixo) com o objetivo de avaliar a possibilidade de investimento na COMPANHIA para fundos de investimento sob gestão da RECEPTORA (a “TRANSAÇÃO”);,changed
"CONSIDERANDO QUE a COMPANHIA se dispõe a fornecer à RECEPTORA as INFORMAÇÕES CONFIDENCIAIS (conforme definição abaixo) relativas à COMPANHIA e suas AFILIADAS (conforme definição abaixo), suas operações e negócios; e","CONSIDERANDO QUE a COMPANHIA se dispõe a fornecer à RECEPTORA as INFORMAÇÕES CONFIDENCIAIS relativas à COMPANHIA e suas AFILIADAS (conforme definição abaixo), suas operações e negócios e à TRANSAÇÃO; e",changed
"CONSIDERANDO QUE, como condição para o fornecimento das INFORMAÇÕES CONFIDENCIAIS, a RECEPTORA deverá firmar o presente ACORDO DE CONFIDENCIALIDADE (“ACORDO”).","CONSIDERANDO QUE, como condição para o fornecimento das INFORMAÇÕES CONFIDENCIAIS, a RECEPTORA deverá firmar o presente ACORDO DE CONFIDENCIALIDADE (“ACORDO”) com a COMPANHIA.",changed
"As PARTES têm, entre si, justo e acordado o presente ACORDO, consoante as cláusulas e condições a seguir:","As PARTES têm, entre si, justo e acordado o presente ACORDO, consoante as cláusulas e condições a seguir:",equal
1.	DEFINIÇÕES,1.	DEFINIÇÕES,equal
"1.1.	INFORMAÇÕES CONFIDENCIAIS são todas e quaisquer informações referentes à COMPANHIA, transmitidas por escrito ou verbalmente, incluindo dados e informações financeiras, operacionais, econômicas, técnicas, jurídicas, sobre fornecedores e parcerias comerciais, informações cadastrais de clientes, informações sobre planos comerciais, planos de marketing, de engenharia ou programação, de atividade comercial, de estratégia de negócio, de produtos ou sobre negociações em andamento, bem como demais informações comerciais ou ""know-how"" e outros negócios da COMPANHIA, que de modo geral não são de conhecimento público, e quaisquer cópias ou registros dos mesmos, contidos em qualquer meio físico, que tenham sido ou sejam fornecidas ou divulgadas pela COMPANHIA ou seus REPRESENTANTES (conforme definidos abaixo) à RECEPTORA ou seus REPRESENTANTES (conforme definidos abaixo) sob ou em função da análise da TRANSAÇÃO pela RECEPTORA e seus REPRESENTANTES.","1.1	INFORMAÇÕES CONFIDENCIAIS são todas e quaisquer informações referentes à COMPANHIA e à TRANSAÇÃO, transmitidas por escrito ou verbalmente, incluindo dados e informações financeiras, operacionais, econômicas, técnicas, jurídicas, sobre fornecedores e parcerias comerciais, informações cadastrais de clientes, informações sobre planos comerciais, planos de marketing, de engenharia ou programação, de atividade comercial, de estratégia de negócio, de produtos ou sobre negociações em andamento, bem como demais informações comerciais ou ""know-how"" e outros negócios da COMPANHIA, que não sejam de conhecimento público, e quaisquer cópias ou registros dos mesmos, contidos em qualquer meio físico, que sejam fornecidas ou divulgadas pela COMPANHIA ou seus REPRESENTANTES (conforme definidos abaixo) à RECEPTORA ou seus REPRESENTANTES sob ou em função da análise da TRANSAÇÃO pela RECEPTORA e seus REPRESENTANTES.",equal
"1.1.1	Não estão incluídas na definição de INFORMAÇÕES CONFIDENCIAIS aquelas informações: (a) que sejam ou venham a se tornar de domínio público sem violação do disposto neste ACORDO; (b) que sejam, comprovadamente, de conhecimento da RECEPTORA à época de sua divulgação pela COMPANHIA; ou (c) recebidas de boa-fé pela RECEPTORA de terceiros que tenham o direito de divulgá-las, sendo certo que, para os propósitos do disposto nesta cláusula, caso ocorra dúvida ou questionamento, caberá à RECEPTORA o ônus de provar o caráter não confidencial de qualquer informação.","1.1.1	Não estão incluídas na definição de INFORMAÇÕES CONFIDENCIAIS aquelas informações: (a) que sejam ou venham a se tornar de domínio público sem violação do disposto neste ACORDO pela RECEPTORA ou seus REPRESENTANTES; (b) que sejam de conhecimento da RECEPTORA à época de sua divulgação pela COMPANHIA; (c) recebidas de boa-fé pela RECEPTORA de terceiros que, no melhor conhecimento da RECEPTORA, tenham o direito de divulgá-las; (d) foram independentemente desenvolvidas pela RECEPTORA sem conter INFORMAÇÃO CONFIDENCIAL da COMPANHIA; e (e) tiverem a sua divulgação autorizada pela COMPANHIA à RECEPTORA.",changed
"1.2.	REPRESENTANTES, quanto à COMPANHIA e à RECEPTORA, são os seus respectivos administradores, diretores, gerentes, membros de conselhos, comitês ou quaisquer órgãos consultivos, representantes, dirigentes, procuradores, empregados, subcontratados ou consultores, presentes ou futuros (incluindo, sem qualquer limitação, advogados, contadores, consultores financeiros, etc.), pessoas físicas ou jurídicas, sociedades controladoras, controladas, afiliadas, subsidiárias, ou sob controle comum, de quaisquer das pessoas anteriormente referidas.","1.2	Para os fins deste ACORDO, “REPRESENTANTES” são os sócios, administradores, diretores, gerentes, membros de conselhos, comitês ou quaisquer órgãos consultivos, representantes, dirigentes, procuradores, empregados, subcontratados ou consultores, presentes ou futuros (incluindo, sem qualquer limitação, advogados, contadores, consultores financeiros, auditores, etc.), pessoas físicas ou jurídicas, de uma Parte ou de uma Afiliada da Parte, sendo certo que, para os fins deste ACORDO, apenas serão considerados REPRESENTANTES aqueles que efetivamente recebam ou forneçam acesso à INFORMAÇÃO CONFIDENCIAL e/ou que estejam diretamente envolvidos na análise da TRANSAÇÃO.",changed
"1.3.	AFILIADA significa, no que concerne a uma pessoa (a “primeira pessoa”), cada uma de suas subsidiárias, filiais, coligadas, controladas, afiliadas (inclusive, sem limitação, quaisquer parceiros em empreendimento conjunto – joint venture), holding companies (e subsidiárias de quaisquer holding companies).","1.3	Para os fins deste Acordo, “AFILIADA” significa, no que concerne a uma Parte, (i) qualquer pessoa, física ou jurídica, que, na data deste ACORDO ou a qualquer momento após a data deste ACORDO, seja COLIGADA ou CONTROLADA por, esteja sob CONTROLE comum com, ou seja CONTROLADORA da primeira, sendo que, para fins deste ACORDO, os termos “CONTROLE”, “CONTROLADA” e “CONTROLADORA” têm o significado que lhes é atribuído pelo artigo 116 da Lei nº 6.404/76 e o termo “COLIGADA” tem o significado que lhe é atribuído conjuntamente pelos parágrafos 1º, 4º e 5º do artigo 243 da Lei nº 6.404/76; bem como significa (ii) qualquer fundo de investimento que seja gerido com poderes discricionários de investimento pela respectiva Parte; e qualquer outro fundo de investimento que seja gerido por uma Afiliada da Parte, desde que em ambos os casos tenha poderes discricionários de investimento.",changed
2.	Utilização daS informaçÕES confidenciaIS,2.	Utilização daS informaçÕES confidenciaIS,equal
"2.1.	A COMPANHIA fornecerá à RECEPTORA e seus REPRESENTANTES as INFORMAÇÕES CONFIDENCIAIS relativas à TRANSAÇÃO, única e exclusivamente para o fim de a RECEPTORA avaliar a TRANSAÇÃO.","2.1	A COMPANHIA fornecerá à RECEPTORA e seus REPRESENTANTES as INFORMAÇÕES CONFIDENCIAIS relativas à TRANSAÇÃO, única e exclusivamente para o fim de a RECEPTORA analisar e avaliar a TRANSAÇÃO e sua viabilidade.",changed
"2.2	A RECEPTORA reconhece que todas as INFORMAÇÕES CONFIDENCIAIS são vitais para o sucesso da TRANSAÇÃO e que sua divulgação ou uso indevido pela RECEPTORA poderá acarretar perdas e danos para a COMPANHIA. Sem o consentimento prévio por escrito da COMPANHIA, a RECEPTORA não revelará ou divulgará (bem como instruirá seus REPRESENTANTES a não revelar ou divulgar) quaisquer INFORMAÇÕES CONFIDENCIAIS, direta ou indiretamente, no todo ou em parte, isolada ou conjuntamente, a quaisquer terceiros, no Brasil ou no exterior, exceto para os seus REPRESENTANTES que comprovadamente necessitem ter acesso às INFORMAÇÕES CONFIDENCIAIS para os fins descritos acima, que sejam informados pela RECEPTORA previamente da natureza confidencial das INFORMAÇÕES CONFIDENCIAIS e que concordem em observar e cumprir todos os termos e condições do presente ACORDO. A RECEPTORA ficará responsável por qualquer violação do presente ACORDO por parte de seus REPRESENTANTES. Nesse sentido, sem o consentimento prévio por escrito da COMPANHIA, a RECEPTORA não revelará ou divulgará (bem como instruirá seus REPRESENTANTES a não revelar ou divulgar) a quaisquer terceiros (i) que a RECEPTORA tem interesse em participar da TRANSAÇÃO ou a existência de discussões ou negociações realizadas entre a COMPANHIA e RECEPTORA com relação à TRANSAÇÃO; e (ii) qualquer dos termos, condições ou outros fatos com relação à TRANSAÇÃO.","2.2	A RECEPTORA reconhece que todas as INFORMAÇÕES CONFIDENCIAIS são essenciais para a execução da TRANSAÇÃO e que sua divulgação ou uso indevido nos termos deste ACORDO pela RECEPTORA poderá acarretar perdas e danos para a COMPANHIA. Sem o consentimento prévio por escrito da COMPANHIA, a RECEPTORA não revelará ou divulgará (bem como instruirá seus REPRESENTANTES a não revelar ou divulgar) quaisquer INFORMAÇÕES CONFIDENCIAIS, no todo ou em parte, isolada ou conjuntamente, a quaisquer terceiros, no Brasil ou no exterior, exceto para os seus REPRESENTANTES que necessitem ter acesso às INFORMAÇÕES CONFIDENCIAIS para os fins descritos na Cláusula 2.1 acima e que sejam informados pela RECEPTORA previamente da natureza confidencial das INFORMAÇÕES CONFIDENCIAIS. A RECEPTORA ficará responsável por qualquer violação do presente ACORDO por parte de seus REPRESENTANTES. Nesse sentido, sem o consentimento prévio por escrito da COMPANHIA, a RECEPTORA não revelará ou divulgará (bem como instruirá seus REPRESENTANTES a não revelar ou divulgar) a quaisquer terceiros que não os seus REPRESENTANTES que a RECEPTORA tem interesse em avaliar a viabilidade da TRANSAÇÃO ou a existência de discussões ou negociações realizadas entre a COMPANHIA e RECEPTORA com relação à análise da TRANSAÇÃO.",changed
